stage,type,location,location_name,perm,rate,comedy_hr_week,comedians,open
איזי והפתולוגים,הרכב,,,0,,,,
צוות מנחוס,הרכב,,,0,,,,
שלישיית בערך,הרכב,,,0,,,,
ישבנים קוראים שירה,הרכב,,,0,,,,
צ' סופית,הרכב,,,0,,,,
עופר ומאר,הרכב,,,0,,,,
האשכנזים,הרכב,,,0,,,,
תירסקסואל,הרכב,,,0,,,,
הנרקיסיסטים,הרכב,,,0,,,,
צמד שיניים,הרכב,,,0,,,,
נשי ותהני,ליין,תל אביב,,0,לא קבוע,,,
ערב הסטנדאפ האינטימי,ליין,תל אביב,,0,לא קבוע,,,
ערב הסטנדאפ המיותר,ליין,תל אביב,,1,דו-שבועי,,,
סטנדאפ ואלרגיות,ליין,תל אביב,,0,,,,
בנות עם ביצים,ליין,,,0,,,,
צחוק אין דה בלוק,ליין,,,0,,,,
כל מה שמצחיק בעולם,ליין,,,0,,,,
ערב גסויות,ליין,,,0,,,,
ערב הסטנדאפ החמים,ליין,ירושלים,,1,דו-שבועי,,,
הסטנדאפ של הגיקים,ליין,,,0,,,,
ערב הסטנדאפ המאוחד,ליין,תל אביב,,1,,,,
המיקרופון,ליין,,,0,,,,
דעות על דברים,ליין,תל אביב,,0,,,,
מעבדת הצחוק של היודלה בר,ליין,ראשון לציון,,0,,,,
רוסט באטל,ליין,,,0,,,,
ערב הסטנדאפ של הלייף,ליין,,,0,,,,
ליאור מארחת,ליין,,,0,,,,
משחקי הקססה,ליין,,,0,,,,
מחשבות מסלול מחדש,ליין,,,0,,,,
ערב הסטנדאפ חסר הביטחון העצמי,ליין,תל אביב,,0,,,,
הקהל מת מצחוק,ליין,,,0,,,,
ערב הסטנדאפ החזק מאוד,ליין,תל אביב,,0,,,,
אסיפת הורים,ליין,,,0,,,,
במה פתוחה באנגלית 3 יחידות,ליין,תל אביב,,1,,,,
סטנדאפ בגלריה,ליין,,,0,,,,
ערב הסטנדאפ האמביוולנטי,ליין,,,0,,,,
פאני מאנדיי,ליין,,,1,,,,
אוף דה וול,ליין,,,0,,,,
ערב הסטנדאפ של האלה,ליין,,,0,,,,
ירושלים צוחקת,ליין,ירושלים,,1,,,,
סטנדאפ סמית,ליין,ירושלים,,1,,,,
ערב הסטנדאפ של צ'וטה,ליין,תל אביב,,0,,,,
סטנדאפ הפילוסופים,ליין,תל אביב,,0,,,,
קומדי בר,מועדון,תל אביב,,1,יומיומי,,,
קאמל קומדי קלאב,מועדון,תל אביב,,1,יומיומי,,,
סטנדאפ פקטורי,מועדון,תל אביב,,1,יומיומי,,,
דנסינג קאמל,מועדון,תל אביב,,1,דו-שבועי,,,
